City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Barrow,1,US,1608099559,69,71.29,-156.79,-22.0,9.3
Nueve de Julio,0,AR,1608099612,76,-35.44,-60.88,12.78,0.89
Kruisfontein,6,ZA,1608099782,67,-34.0,24.73,21.11,1.34
Opuwo,70,NA,1608099782,28,-18.06,13.84,21.09,0.51
Hong Kong,42,HK,1608099782,68,22.29,114.16,16.11,0.45
Durrës,0,AL,1608099593,93,41.32,19.44,2.0,2.1
Mikhaylovka,100,RU,1608099783,88,50.06,43.24,-5.56,2.68
Avarua,89,CK,1608099783,78,-21.21,-159.78,28.0,4.1
New Norfolk,100,AU,1608099783,55,-42.78,147.06,15.56,1.34
Torbay,75,CA,1608099783,63,47.67,-52.73,-1.67,20.6
Longyearbyen,0,SJ,1608099784,54,78.22,15.64,-15.0,9.3
Cape Town,0,ZA,1608099013,68,-33.93,18.42,19.44,4.6
Port Blair,100,IN,1608099784,71,11.67,92.75,29.05,6.28
Lebyazh'ye,84,RU,1608099785,92,55.27,66.49,-10.04,5.12
Mar del Plata,0,AR,1608099590,81,-38.0,-57.56,12.78,2.1
Yenangyaung,1,MM,1608099785,49,20.47,94.88,29.62,3.26
Fare,36,PF,1608099785,75,-16.7,-151.02,27.19,8.6
Broken Hill,31,AU,1608099785,21,-31.95,141.43,34.0,5.7
Uray,99,RU,1608099785,93,60.12,64.78,-8.51,3.49
Salalah,20,OM,1608099785,39,17.02,54.09,26.0,5.1
Beya,100,RU,1608099786,93,53.05,90.91,-8.35,4.42
Paamiut,0,GL,1608099786,85,61.99,-49.67,0.24,4.41
Busselton,0,AU,1608099786,46,-33.65,115.33,26.11,0.45
Belmonte,40,BR,1608099787,88,-15.86,-38.88,22.0,1.5
Grindavik,90,IS,1608099787,70,63.84,-22.43,6.0,7.2
Narsaq,50,GL,1608099787,37,60.92,-46.05,3.0,18.0
Estelle,90,US,1608099787,93,29.85,-90.11,13.89,4.1
East London,0,ZA,1608099787,77,-33.02,27.91,20.0,5.7
Zhigansk,40,RU,1608099787,81,66.77,123.37,-40.5,0.87
Saldanha,0,ZA,1608099617,72,-33.01,17.94,17.0,4.1
Hithadhoo,10,MV,1608099788,70,-0.6,73.08,27.62,4.41
Hilo,75,US,1608099585,88,19.73,-155.09,23.0,3.1
Bethel,1,US,1608099788,41,41.37,-73.41,-5.0,3.6
Rome,1,US,1608099788,61,43.21,-75.46,-8.89,1.5
Ribeira Grande,100,PT,1608099788,89,38.52,-28.7,17.37,7.84
Nikol'sk,100,RU,1608099789,97,53.72,46.07,-7.47,2.21
Nuuk,20,GL,1608099760,85,64.18,-51.72,-4.0,7.7
Nizwá,12,OM,1608099789,28,22.93,57.53,21.68,1.25
Mananara,32,MG,1608099789,62,-16.17,49.77,28.11,1.41
Mataura,99,NZ,1608099789,95,-46.19,168.86,13.89,5.36
Caravelas,36,BR,1608099789,93,-17.71,-39.25,22.04,1.51
Ballina,75,AU,1608099789,88,-28.87,153.57,24.0,8.7
Oranjemund,0,NA,1608099790,72,-28.55,16.43,17.52,5.05
Puerto Ayora,90,EC,1608099790,94,-0.74,-90.35,21.67,1.34
Puerto Escondido,90,MX,1608099790,72,15.85,-97.07,25.11,2.3
Iqaluit,90,CA,1608099790,85,63.75,-68.51,-7.0,2.6
Bandarbeyla,40,SO,1608099790,70,9.49,50.81,25.45,8.96
Manali,90,IN,1608099791,74,13.17,80.27,29.0,5.1
Hasaki,20,JP,1608099791,26,35.73,140.83,10.0,3.1
Tasiilaq,100,GL,1608099791,49,65.61,-37.64,-3.0,10.3
Dikson,90,RU,1608099791,89,73.51,80.55,-27.35,0.77
Peniche,100,PT,1608099791,90,39.36,-9.38,16.11,0.45
Fairbanks,75,US,1608099791,60,64.84,-147.72,-12.0,0.5
Nyuksenitsa,96,RU,1608099791,97,60.41,44.24,-8.68,1.84
Bredasdorp,0,ZA,1608099792,64,-34.53,20.04,20.0,2.1
Lagoa,99,PT,1608099792,87,39.05,-27.98,16.45,8.54
Tuy Hoa,100,VN,1608099736,89,13.08,109.3,24.91,6.89
Ponta do Sol,100,PT,1608099792,75,32.67,-17.1,17.22,4.02
Bengkulu,100,ID,1608099605,91,-3.8,102.27,23.28,2.59
Tiksi,92,RU,1608099792,87,71.69,128.87,-31.47,1.51
Pitimbu,20,BR,1608099793,94,-7.47,-34.81,24.0,2.1
Bāpatla,46,IN,1608099507,67,15.9,80.47,27.44,4.61
Shenjiamen,46,CN,1608099793,63,29.96,122.3,7.5,8.58
Ulaangom,96,MN,1608099793,88,49.98,92.07,-19.6,0.36
Yarovoy,95,RU,1608099793,95,52.93,78.58,-13.17,3.99
Warmbad,0,NA,1608099793,28,-28.45,18.73,24.24,3.81
Wamba,79,NG,1608099794,26,8.93,8.6,21.46,0.42
Nikolskoye,90,RU,1608099794,98,59.7,30.79,0.0,3.0
Souillac,75,MU,1608099794,74,-20.52,57.52,29.0,6.2
Westport,1,US,1608099794,42,41.14,-73.36,-2.78,4.6
Popondetta,35,PG,1608099794,65,-8.75,148.25,30.44,2.31
Tivoli,0,IT,1608099794,93,41.96,12.8,5.0,1.0
Provideniya,100,RU,1608099795,96,64.38,-173.3,-7.55,6.35
Huejuquilla el Alto,0,MX,1608099795,64,22.6,-103.87,5.9,0.4
Yellowknife,5,CA,1608099795,72,62.46,-114.35,-40.0,1.5
Zhezkazgan,0,KZ,1608099795,92,47.8,67.71,-15.93,2.33
Rio Grande,2,BR,1608099598,89,-32.03,-52.1,20.45,3.2
Miranda,75,CO,1608099796,88,3.25,-76.23,22.22,1.5
Beringovskiy,94,RU,1608099796,96,63.05,179.32,-9.88,4.46
Bima,80,ID,1608099796,70,-8.47,118.72,30.06,0.65
Fort Nelson,90,CA,1608099796,77,58.81,-122.7,-19.0,1.5
Pangnirtung,98,CA,1608099796,71,66.15,-65.71,-13.11,1.39
Kananga,99,CD,1608099796,98,-5.9,22.42,20.66,1.06
Tall Kayf,90,TR,1608099796,87,37.08,41.07,10.0,5.1
Mariinsk,100,RU,1608099797,94,56.21,87.75,-14.66,0.96
Codrington,100,AU,1608099797,92,-38.27,141.97,15.34,4.77
Butaritari,71,KI,1608099798,80,3.07,172.79,28.12,7.98
Pangoa,98,PE,1608099798,95,-12.12,-73.0,19.3,0.98
Lompoc,1,US,1608099798,59,34.64,-120.46,13.0,6.2
Nelson Bay,40,AU,1608099578,65,-32.72,152.15,28.0,6.7
Hofn,100,IS,1608099798,91,64.25,-15.21,4.13,9.12
San Miguel de Tucumán,75,AR,1608099799,73,-26.82,-65.22,24.0,2.21
Acapulco de Juárez,93,MX,1608099769,77,16.86,-99.89,24.54,2.11
Mweka,100,CD,1608099799,98,-4.85,21.57,21.85,0.48
Katsuura,75,JP,1608099799,39,35.13,140.3,10.56,6.7
Saint George,1,US,1608099799,73,37.1,-113.58,1.11,2.6
Muisne,52,EC,1608099799,84,0.6,-80.03,23.67,1.79
Dolinsk,20,RU,1608099800,57,47.35,142.8,-8.0,7.0
Oltu,97,TR,1608099800,68,40.55,42.0,5.07,1.06
Forsytheganj,100,BY,1608099800,98,52.63,29.73,-0.85,3.41
Guarapari,0,BR,1608099800,83,-20.67,-40.5,24.0,3.1
Te Anau,100,NZ,1608099800,90,-45.42,167.72,13.09,1.46
Baykit,92,RU,1608099800,83,61.67,96.37,-27.53,2.27
Bowen,74,AU,1608099801,55,-20.02,148.23,33.0,6.2
Vao,8,NC,1608099801,76,-22.67,167.48,24.27,9.73
Pemangkat,100,ID,1608099524,76,1.17,108.97,28.3,4.47
Arlit,0,NE,1608099801,28,18.74,7.39,17.92,3.49
Viedma,58,AR,1608099802,38,-40.81,-63.0,15.22,4.98
El Dorado,33,US,1608099802,86,38.77,-120.52,5.56,0.45
Mount Vernon,90,US,1608099802,42,40.91,-73.84,-0.56,4.6
Oeiras do Pará,100,BR,1608099802,96,-2.0,-49.85,22.87,0.6
Vaini,75,TO,1608099802,88,-21.2,-175.2,24.0,8.2
Dingle,100,PH,1608099803,85,11.0,122.67,27.16,5.2
Husavik,90,IS,1608099803,91,66.04,-17.34,3.0,6.7
Chateaubelair,20,VC,1608099803,83,13.28,-61.25,25.0,2.6
Sur,11,OM,1608099803,42,22.57,59.53,23.23,5.76
Jacqueville,20,CI,1608099803,88,5.21,-4.41,27.0,2.1
Lavrentiya,100,RU,1608099803,95,65.58,-171.0,-8.97,5.9
Upernavik,12,GL,1608099803,81,72.79,-56.15,-8.12,3.08
Tiznit Province,2,MA,1608099804,78,29.58,-9.5,12.39,0.76
Labuhan,79,ID,1608099804,72,-6.88,112.21,29.41,2.49
Saskylakh,35,RU,1608099804,83,71.92,114.08,-35.82,1.4
Saint-Philippe,54,RE,1608099804,66,-21.36,55.77,29.0,2.1
Suntar,100,RU,1608099804,91,62.14,117.63,-21.63,1.67
Kāngar,0,IN,1608099805,37,32.1,76.27,13.33,2.11
Gerede,100,TR,1608099805,99,40.8,32.2,3.75,1.67
Buala,100,SB,1608099805,79,-8.14,159.59,28.66,3.68
Reconquista,62,AR,1608099805,81,-29.15,-59.65,19.1,2.22
Coquimbo,10,CL,1608099653,88,-29.95,-71.34,12.93,0.88
Saint Paul Harbor,1,US,1608099805,68,57.79,-152.41,-1.0,2.1
Arica,98,CL,1608099605,77,-18.48,-70.3,19.0,2.1
Arraial do Cabo,100,BR,1608099686,93,-22.97,-42.03,23.94,2.28
Menongue,79,AO,1608099806,55,-14.66,17.69,19.76,2.67
Bell Ville,0,AR,1608099806,92,-32.63,-62.69,13.33,1.79
Kutum,51,SD,1608099806,32,14.2,24.67,16.23,1.66
Jati,0,PK,1608099806,22,24.35,68.27,21.45,8.21
Ilulissat,34,GL,1608099807,45,69.22,-51.1,-3.0,7.7
Sarapul,100,RU,1608099807,81,56.48,53.8,-7.22,0.89
Kahului,20,US,1608099807,78,20.89,-156.47,24.0,7.7
Cabo San Lucas,5,MX,1608099807,83,22.89,-109.91,17.22,1.79
Labytnangi,98,RU,1608099808,91,66.66,66.42,-19.55,3.6
Severobaykal'sk,86,RU,1608099808,86,55.65,109.32,-10.07,2.88
Booué,74,GA,1608099808,93,-0.09,11.94,22.62,0.38
Sabang,91,ID,1608099808,74,5.89,95.32,27.29,0.54
Norman Wells,75,CA,1608099808,75,65.28,-126.83,-28.0,4.6
Khani,90,GE,1608099809,93,41.96,42.96,11.0,1.0
Dalvik,90,IS,1608099809,87,65.97,-18.53,3.0,6.7
Mount Isa,100,AU,1608099608,21,-20.73,139.5,39.0,4.6
Lipari,99,IT,1608099809,73,38.47,14.95,11.11,2.24
Aklavik,100,CA,1608099809,82,68.22,-135.01,-28.0,2.6
Mapiripán,77,CO,1608099810,95,2.89,-72.13,22.72,1.61
Port Hedland,53,AU,1608099810,59,-20.32,118.57,33.0,6.7
Qandala,32,SO,1608099810,70,11.47,49.87,24.73,4.32
Walvis Bay,74,NA,1608099810,93,-22.96,14.51,16.11,3.1
Port Elizabeth,20,ZA,1608099810,68,-33.92,25.57,21.0,6.2
Mössingen,98,DE,1608099811,85,48.41,9.05,5.0,1.04
Sarangani,92,PH,1608099811,70,5.4,125.46,28.96,4.43
Cherskiy,100,RU,1608099811,87,68.75,161.3,-29.59,3.17
Talnakh,40,RU,1608099811,83,69.49,88.4,-21.0,9.0
Ocean City,1,US,1608099731,68,39.28,-74.57,-1.11,3.1
Sampit,69,ID,1608099812,49,-2.53,112.95,33.86,1.95
Port Hueneme,1,US,1608099792,34,34.15,-119.2,14.44,2.6
Pontianak,92,ID,1608099812,78,-0.03,109.33,29.01,2.6
Saint-Prosper,57,CA,1608099812,70,46.21,-70.48,-20.0,1.5
Māngrol,18,IN,1608099812,41,21.12,70.12,24.69,6.14
Ahipara,0,NZ,1608099812,67,-35.17,173.17,18.57,4.62
Lázaro Cárdenas,46,MX,1608099747,89,17.96,-102.2,22.95,1.32
Kieta,100,PG,1608099813,75,-6.22,155.63,28.77,2.84
Klaksvík,77,FO,1608099813,100,62.23,-6.59,6.0,4.1
Sinegor'ye,100,RU,1608099813,82,62.08,150.48,-29.29,2.42
Atambua,80,ID,1608099813,81,-9.11,124.89,27.14,2.76
Stornoway,75,GB,1608099813,70,58.21,-6.39,8.0,7.2
San Patricio,1,US,1608099813,87,28.02,-97.52,11.67,4.6
Yamada,15,JP,1608099814,82,39.47,141.95,-0.09,8.09
‘Āhuimanu,75,US,1608099814,73,21.44,-157.84,26.0,3.1
Dhidhdhoo,68,MV,1608099814,67,6.88,73.1,27.86,4.46
Mukhen,59,RU,1608099814,79,48.1,136.1,-17.43,5.57
Sinnamary,75,GF,1608099814,86,5.38,-52.95,25.32,2.64
Copiapó,1,CL,1608099815,82,-27.37,-70.33,15.0,3.6
Iranshahr,0,IR,1608099815,14,27.2,60.68,16.0,3.1
Khatanga,19,RU,1608099815,82,71.97,102.5,-36.68,3.02
Dublin,1,US,1608099815,81,37.7,-121.94,10.0,0.8
Aykhal,90,RU,1608099815,67,66.0,111.5,-31.0,3.0
Sterling,75,US,1608099815,68,39.01,-77.43,-1.0,2.6
Turinsk,100,RU,1608099815,90,58.05,63.7,-7.71,4.06
Puerto del Rosario,20,ES,1608099742,77,28.5,-13.86,15.0,3.6
Ambunti,100,PG,1608099816,56,-4.24,142.84,32.99,0.91
Waingapu,73,ID,1608099816,68,-9.66,120.26,29.77,3.15
Coahuayana Viejo,30,MX,1608099816,90,18.73,-103.68,21.17,1.54
Semenivka,95,UA,1608099816,99,52.18,32.58,-1.63,1.25
Batabanó,5,CU,1608099816,100,22.72,-82.29,18.0,1.0
Arrondissement de Mende,43,FR,1608099817,100,44.67,3.5,1.91,2.62
Isabela,40,PH,1608099817,74,6.71,121.97,30.0,3.6
Marzuq,10,YE,1608099817,24,14.4,46.47,18.74,1.02
Diego de Almagro,0,CL,1608099817,62,-26.37,-70.05,12.64,0.67
Kunya,0,NG,1608099817,48,12.22,8.53,16.0,1.0
Gari,100,RU,1608099817,90,59.43,62.35,-6.73,4.48
Noumea,20,NC,1608099663,54,-22.28,166.46,29.0,9.3
Bintulu,40,MY,1608099818,70,3.17,113.03,31.0,2.6
Norwich,83,GB,1608099585,93,52.63,1.3,8.0,4.1
Jaora,0,IN,1608099818,55,23.63,75.13,22.11,5.17
Departamento de Maldonado,0,UY,1608099818,71,-34.67,-54.92,14.0,1.5
Caála,60,AO,1608099818,80,-12.85,15.56,16.68,1.19
Nogliki,100,RU,1608099818,88,51.83,143.17,-12.94,11.98
Acaraú,91,BR,1608099819,80,-2.89,-40.12,26.05,5.13
Clarence Town,40,AU,1608099819,65,-32.58,151.78,30.56,6.7
Ancud,0,CL,1608099819,87,-41.87,-73.82,7.22,2.6
Yangi Marg`ilon,75,UZ,1608099819,69,40.43,71.72,1.0,1.0
Isangel,20,VU,1608099820,66,-19.55,169.27,29.0,4.1
Sorong,99,ID,1608099820,76,-0.88,131.25,28.43,4.74
Houma,90,US,1608099820,87,29.6,-90.72,13.33,3.6
Warrington,100,GB,1608099562,81,53.39,-2.58,10.0,10.3
Grand Gaube,6,MU,1608099820,78,-20.01,57.66,27.78,4.47
Tilichiki,100,RU,1608099820,93,60.47,166.1,-17.85,6.96
Suihua,0,CN,1608099820,87,46.64,127.0,-17.9,3.95
Gotenba,40,JP,1608099821,27,35.3,138.93,5.0,3.1
Orán,19,AR,1608099821,84,-23.13,-64.33,23.89,0.97
Chara,100,RU,1608099821,79,56.91,118.26,-23.57,0.36
Riviere-au-Renard,90,CA,1608099624,66,49.0,-64.4,-10.0,9.8
Ellenabad,0,IN,1608099821,29,29.45,74.65,17.52,0.9
Maniitsoq,65,GL,1608099821,89,65.42,-52.9,-3.79,3.4
Ulladulla,40,AU,1608099758,74,-35.35,150.47,26.0,7.7
Muros,100,ES,1608099822,96,42.78,-9.06,10.56,0.89
Jasper,90,US,1608099822,92,37.2,-94.35,-2.0,2.6
Umuarama,4,BR,1608099822,81,-23.77,-53.33,21.65,1.47
Skoghall,38,SE,1608099822,100,59.32,13.47,4.0,1.0
Cajati,41,BR,1608099822,93,-24.74,-48.12,20.34,0.51
Tuktoyaktuk,40,CA,1608099823,75,69.45,-133.04,-28.0,4.1
Sawākin,24,SD,1608099823,67,19.11,37.33,27.1,3.69
West Monroe,90,US,1608099823,93,32.52,-92.15,5.0,3.6
Calama,0,CL,1608099823,31,-22.47,-68.93,10.0,6.2
Kapoeta,55,SS,1608099823,26,4.77,33.59,29.66,8.44
Yulara,63,AU,1608099824,17,-25.24,130.99,39.0,3.6
Chipinge,100,ZW,1608099824,84,-20.19,32.62,22.65,0.58
El Real de Santa Maria,79,PA,1608099824,95,8.11,-77.73,22.82,0.51
Máncora,1,PE,1608099824,70,-4.11,-81.05,22.73,3.54
Bethanien,0,NA,1608099824,32,-26.5,17.16,21.1,0.68
Sørland,75,NO,1608099824,80,67.67,12.69,4.0,5.7
Sitka,90,US,1608099825,56,57.05,-135.33,7.0,2.1
Perth,0,AU,1608099825,39,-31.93,115.83,28.0,7.7
Aswān,0,EG,1608099825,47,24.09,32.91,14.17,3.72
Yuzhno-Sukhokumsk,100,RU,1608099825,84,44.66,45.64,8.29,3.96
Richards Bay,79,ZA,1608099825,69,-28.78,32.04,24.1,5.7
Maksatikha,100,RU,1608099825,98,57.8,35.88,-3.47,2.73
Sabaudia,0,IT,1608099826,93,41.3,13.03,8.89,2.6
Fortuna,59,US,1608099826,94,40.6,-124.16,10.56,2.74
Okakarara,70,NA,1608099826,35,-20.58,17.43,24.54,1.2
Harper,95,LR,1608099826,83,4.38,-7.72,25.38,0.97
Coyhaique,0,CL,1608099826,65,-45.58,-72.07,8.0,1.0
Cuenca,95,EC,1608099826,100,-2.88,-78.98,11.0,1.5
Shar,71,KZ,1608099827,91,49.59,81.05,-14.61,2.68
Cayenne,77,GF,1608099827,100,4.93,-52.33,24.0,1.0
Carutapera,97,BR,1608099827,85,-1.2,-46.02,24.75,1.42
Ridge,1,US,1608099827,42,40.89,-72.9,-1.67,2.1
Tuatapere,100,NZ,1608099827,95,-46.13,167.68,13.89,5.36
Toktogul,0,KG,1608099827,74,41.87,72.94,-2.81,0.41
Saint Anthony,90,US,1608099828,57,45.02,-93.22,-5.0,5.1
Nouakchott,0,MR,1608099828,51,18.09,-15.98,15.0,4.6
Inhambane,40,MZ,1608099828,83,-23.86,35.38,27.0,1.5
Jiexiu,0,CN,1608099584,61,37.02,111.91,-1.01,3.11
Puerto Maldonado,94,PE,1608099828,97,-12.6,-69.18,22.78,0.9
Palana,100,RU,1608099828,94,59.12,159.97,-9.31,9.55
Haverfordwest,100,GB,1608099828,87,51.8,-4.97,11.0,16.5
São Filipe,75,CV,1608099829,72,14.9,-24.5,22.88,4.06
Auki,72,SB,1608099829,70,-8.77,160.7,29.54,2.68
Saryozek,0,KZ,1608099829,88,44.36,77.98,-8.23,0.3
Vila Velha,0,BR,1608099615,83,-20.33,-40.29,24.0,3.1
Nagato,20,JP,1608099829,52,34.38,131.2,6.67,8.2
Ariogala,90,LT,1608099829,92,55.27,23.47,0.0,5.1
Kenitra,40,MA,1608099830,100,34.26,-6.58,11.0,2.6
Luanda,75,AO,1608099741,83,-8.84,13.23,25.0,2.1
Marystown,100,CA,1608099830,90,47.17,-55.15,-1.91,18.99
Victor Harbor,72,AU,1608099830,81,-35.57,138.62,17.78,1.79
Cartagena,0,CO,1608099830,100,10.4,-75.51,26.0,3.1
Viramgam,0,IN,1608099830,64,23.12,72.05,22.0,4.1
Asău,2,RO,1608099830,1,46.43,26.4,0.0,1.23
Villiers,0,ZA,1608099831,63,-27.03,28.6,19.84,4.41
Lensk,100,RU,1608099674,92,60.73,114.93,-15.38,2.65
Minna,0,NG,1608099831,35,9.61,6.56,23.0,0.5
Broome,1,US,1608099831,72,42.25,-75.83,-7.22,2.12
Wynyard,100,AU,1608099831,93,-41.0,145.72,13.89,0.89
Malé,40,MV,1608099831,70,4.17,73.51,31.0,5.1
Basco,94,PH,1608099542,81,20.45,121.97,23.96,12.26
Maţāy,8,EG,1608099832,78,28.42,30.78,13.84,2.08
Korla,21,CN,1608099832,81,41.76,86.15,-2.45,1.0
Natchitoches,90,US,1608099832,100,31.77,-93.13,6.0,1.86
Laguna,1,US,1608099832,86,38.42,-121.42,6.67,0.93
Terrace,90,CA,1608099832,90,54.52,-128.6,0.0,2.1
Doha,20,QA,1608099832,57,25.29,51.53,24.0,2.6
Tongren,90,CN,1608099710,59,27.72,109.19,5.87,3.77
Rosário do Sul,7,BR,1608099833,79,-30.26,-54.91,19.13,2.52
Deer Lake,90,CA,1608099833,79,49.17,-57.43,-4.0,8.7
Itarema,87,BR,1608099833,77,-2.92,-39.92,26.44,5.6
Khandyga,100,RU,1608099833,78,62.67,135.6,-42.44,0.43
Pisco,0,PE,1608099748,93,-13.7,-76.22,18.0,4.6
Adrar,52,MR,1608099833,27,20.5,-10.07,17.8,3.07
Ferrol,75,ES,1608099834,93,43.48,-8.24,11.11,2.6
Virginia Beach,75,US,1608099673,66,36.85,-75.98,7.0,4.1
Anloga,20,GH,1608099681,83,5.79,0.9,26.0,2.1
Gimli,100,CA,1608099703,85,50.63,-96.99,-10.0,6.2
Vernon,99,CA,1608099631,92,50.26,-119.27,0.56,1.5
Bagdarin,99,RU,1608099834,85,54.43,113.6,-19.0,0.68
Viranşehir,89,TR,1608099834,84,37.24,39.76,10.46,3.18
Wanning,99,CN,1608099835,84,18.8,110.4,19.93,6.69
Naze,75,JP,1608099730,82,28.37,129.48,16.0,5.7
Morro Bay,0,US,1608099835,82,35.37,-120.85,7.78,3.22
Aksu,63,CN,1608099666,85,41.12,80.26,-2.18,0.91
Inuvik,99,CA,1608099835,82,68.35,-133.72,-28.0,2.6
Tsabong,6,BW,1608099836,43,-26.02,22.4,28.51,5.82
Mandera,0,KE,1608099605,30,3.94,41.87,27.82,6.12
Rabo de Peixe,75,PT,1608099836,87,37.8,-25.58,15.0,2.63
Yerbogachën,99,RU,1608099836,89,61.28,108.01,-21.14,3.83
Laas,90,IT,1608099837,63,46.62,10.7,0.0,2.6
George Town,40,MY,1608099541,70,5.41,100.34,31.0,2.1
Batagay,100,RU,1608099837,77,67.63,134.63,-36.26,0.33
Pevek,91,RU,1608099837,92,69.7,170.31,-12.82,2.74
Yuanping,0,CN,1608099633,61,38.72,112.76,-5.05,0.94
Altoona,100,US,1608099837,69,40.52,-78.39,-3.33,4.32
Ponta Delgada,75,PT,1608099838,87,37.73,-25.67,15.0,2.19
Pochutla,43,MX,1608099838,88,15.74,-96.47,20.56,1.6
Kingman,1,US,1608099838,47,35.19,-114.05,6.67,4.6
Havre-St-Pierre,1,CA,1608099838,56,50.23,-63.6,-10.0,10.3
Yarensk,94,RU,1608099838,97,62.17,49.09,-9.49,2.14
Lakatoro,75,VU,1608099838,70,-16.1,167.42,30.0,4.1
Arman',45,RU,1608099839,84,59.7,150.17,-19.49,8.39
Thompson,90,CA,1608099839,83,55.74,-97.86,-24.0,1.5
